2017-09-20 13:29:44 Jepsen starting etcd :--log-output :stderr :--name ec2-35-156-80-2.eu-central-1.compute.amazonaws.com :--listen-peer-urls http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380 :--listen-client-urls http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2379 :--advertise-client-urls http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380 :--initial-cluster ec2-18-194-87-54.eu-central-1.compute.amazonaws.com=http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380,ec2-18-196-0-107.eu-central-1.compute.amazonaws.com=http://ec2-18-196-0-107.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-134-185.eu-central-1.compute.amazonaws.com=http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-52-75.eu-central-1.compute.amazonaws.com=http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380,ec2-35-156-80-2.eu-central-1.compute.amazonaws.com=http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380
2017-09-20 13:29:44.292854 I | etcdmain: etcd Version: 3.1.5
2017-09-20 13:29:44.292884 I | etcdmain: Git SHA: 20490ca
2017-09-20 13:29:44.292889 I | etcdmain: Go Version: go1.7.5
2017-09-20 13:29:44.292893 I | etcdmain: Go OS/Arch: linux/amd64
2017-09-20 13:29:44.292897 I | etcdmain: setting maximum number of CPUs to 2, total number of available CPUs is 2
2017-09-20 13:29:44.292906 W | etcdmain: no data-dir provided, using default data-dir ./ec2-35-156-80-2.eu-central-1.compute.amazonaws.com.etcd
2017-09-20 13:29:44.292918 W | embed: expected IP in URL for binding (http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380)
2017-09-20 13:29:44.292924 W | embed: expected IP in URL for binding (http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2379)
2017-09-20 13:29:44.294145 I | embed: listening for peers on http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380
2017-09-20 13:29:44.294575 I | embed: listening for client requests on ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2379
2017-09-20 13:29:44.299636 I | pkg/netutil: resolving ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380 to 172.31.21.212:2380
2017-09-20 13:29:44.300060 I | pkg/netutil: resolving ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380 to 172.31.21.212:2380
2017-09-20 13:29:48.300914 I | etcdserver: name = ec2-35-156-80-2.eu-central-1.compute.amazonaws.com
2017-09-20 13:29:48.300944 I | etcdserver: data dir = ec2-35-156-80-2.eu-central-1.compute.amazonaws.com.etcd
2017-09-20 13:29:48.300951 I | etcdserver: member dir = ec2-35-156-80-2.eu-central-1.compute.amazonaws.com.etcd/member
2017-09-20 13:29:48.300956 I | etcdserver: heartbeat = 100ms
2017-09-20 13:29:48.300960 I | etcdserver: election = 1000ms
2017-09-20 13:29:48.300965 I | etcdserver: snapshot count = 10000
2017-09-20 13:29:48.300977 I | etcdserver: advertise client URLs = http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2379
2017-09-20 13:29:48.300983 I | etcdserver: initial advertise peer URLs = http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380
2017-09-20 13:29:48.301003 I | etcdserver: initial cluster = ec2-18-194-134-185.eu-central-1.compute.amazonaws.com=http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-52-75.eu-central-1.compute.amazonaws.com=http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-87-54.eu-central-1.compute.amazonaws.com=http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380,ec2-18-196-0-107.eu-central-1.compute.amazonaws.com=http://ec2-18-196-0-107.eu-central-1.compute.amazonaws.com:2380,ec2-35-156-80-2.eu-central-1.compute.amazonaws.com=http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380
2017-09-20 13:29:48.306084 I | etcdserver: starting member 4947815f01d43c9c in cluster 663a90b2fc437693
2017-09-20 13:29:48.306113 I | raft: 4947815f01d43c9c became follower at term 0
2017-09-20 13:29:48.306123 I | raft: newRaft 4947815f01d43c9c [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2017-09-20 13:29:48.306135 I | raft: 4947815f01d43c9c became follower at term 1
2017-09-20 13:29:48.317376 I | rafthttp: starting peer 1ff51c47e4f95221...
2017-09-20 13:29:48.317415 I | rafthttp: started HTTP pipelining with peer 1ff51c47e4f95221
2017-09-20 13:29:48.318576 I | rafthttp: started streaming with peer 1ff51c47e4f95221 (writer)
2017-09-20 13:29:48.318828 I | rafthttp: started streaming with peer 1ff51c47e4f95221 (writer)
2017-09-20 13:29:48.321554 I | rafthttp: started peer 1ff51c47e4f95221
2017-09-20 13:29:48.321581 I | rafthttp: added peer 1ff51c47e4f95221
2017-09-20 13:29:48.321600 I | rafthttp: starting peer a8637664ca9721a5...
2017-09-20 13:29:48.321618 I | rafthttp: started HTTP pipelining with peer a8637664ca9721a5
2017-09-20 13:29:48.322037 I | rafthttp: started streaming with peer 1ff51c47e4f95221 (stream MsgApp v2 reader)
2017-09-20 13:29:48.323624 I | rafthttp: started streaming with peer 1ff51c47e4f95221 (stream Message reader)
2017-09-20 13:29:48.323889 I | rafthttp: started streaming with peer a8637664ca9721a5 (writer)
2017-09-20 13:29:48.325660 I | rafthttp: started peer a8637664ca9721a5
2017-09-20 13:29:48.325688 I | rafthttp: added peer a8637664ca9721a5
2017-09-20 13:29:48.325704 I | rafthttp: starting peer c7674291f0333bf7...
2017-09-20 13:29:48.325726 I | rafthttp: started HTTP pipelining with peer c7674291f0333bf7
2017-09-20 13:29:48.326910 I | rafthttp: started streaming with peer a8637664ca9721a5 (stream Message reader)
2017-09-20 13:29:48.327117 I | rafthttp: started streaming with peer c7674291f0333bf7 (writer)
2017-09-20 13:29:48.327715 I | rafthttp: started peer c7674291f0333bf7
2017-09-20 13:29:48.327752 I | rafthttp: added peer c7674291f0333bf7
2017-09-20 13:29:48.327769 I | rafthttp: starting peer fe045def5d726446...
2017-09-20 13:29:48.327802 I | rafthttp: started HTTP pipelining with peer fe045def5d726446
2017-09-20 13:29:48.328480 I | rafthttp: started streaming with peer c7674291f0333bf7 (writer)
2017-09-20 13:29:48.328574 I | rafthttp: started streaming with peer a8637664ca9721a5 (writer)
2017-09-20 13:29:48.328593 I | rafthttp: started streaming with peer a8637664ca9721a5 (stream MsgApp v2 reader)
2017-09-20 13:29:48.328838 I | rafthttp: started streaming with peer fe045def5d726446 (writer)
2017-09-20 13:29:48.329098 I | rafthttp: started streaming with peer c7674291f0333bf7 (stream Message reader)
2017-09-20 13:29:48.330122 I | rafthttp: started peer fe045def5d726446
2017-09-20 13:29:48.330143 I | rafthttp: added peer fe045def5d726446
2017-09-20 13:29:48.330158 I | etcdserver: starting server... [version: 3.1.5, cluster version: to_be_decided]
2017-09-20 13:29:48.330414 I | rafthttp: started streaming with peer fe045def5d726446 (writer)
2017-09-20 13:29:48.330439 I | rafthttp: started streaming with peer c7674291f0333bf7 (stream MsgApp v2 reader)
2017-09-20 13:29:48.330596 I | rafthttp: started streaming with peer fe045def5d726446 (stream MsgApp v2 reader)
2017-09-20 13:29:48.330745 I | rafthttp: started streaming with peer fe045def5d726446 (stream Message reader)
2017-09-20 13:29:48.331555 I | rafthttp: peer a8637664ca9721a5 became active
2017-09-20 13:29:48.331574 I | rafthttp: established a TCP streaming connection with peer a8637664ca9721a5 (stream MsgApp v2 writer)
2017-09-20 13:29:48.331966 I | rafthttp: established a TCP streaming connection with peer a8637664ca9721a5 (stream Message writer)
2017-09-20 13:29:48.332146 I | etcdserver/membership: added member 1ff51c47e4f95221 [http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380] to cluster 663a90b2fc437693
2017-09-20 13:29:48.332272 I | etcdserver/membership: added member 4947815f01d43c9c [http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380] to cluster 663a90b2fc437693
2017-09-20 13:29:48.332376 I | etcdserver/membership: added member a8637664ca9721a5 [http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380] to cluster 663a90b2fc437693
2017-09-20 13:29:48.332495 I | etcdserver/membership: added member c7674291f0333bf7 [http://ec2-18-196-0-107.eu-central-1.compute.amazonaws.com:2380] to cluster 663a90b2fc437693
2017-09-20 13:29:48.332638 I | etcdserver/membership: added member fe045def5d726446 [http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380] to cluster 663a90b2fc437693
2017-09-20 13:29:48.334992 I | rafthttp: established a TCP streaming connection with peer a8637664ca9721a5 (stream Message reader)
2017-09-20 13:29:48.335231 I | rafthttp: established a TCP streaming connection with peer a8637664ca9721a5 (stream MsgApp v2 reader)
2017-09-20 13:29:48.347899 I | rafthttp: peer 1ff51c47e4f95221 became active
2017-09-20 13:29:48.347914 I | rafthttp: established a TCP streaming connection with peer 1ff51c47e4f95221 (stream Message writer)
2017-09-20 13:29:48.348032 I | rafthttp: established a TCP streaming connection with peer 1ff51c47e4f95221 (stream MsgApp v2 writer)
2017-09-20 13:29:48.349478 I | rafthttp: peer c7674291f0333bf7 became active
2017-09-20 13:29:48.349490 I | rafthttp: established a TCP streaming connection with peer c7674291f0333bf7 (stream MsgApp v2 reader)
2017-09-20 13:29:48.354219 I | rafthttp: established a TCP streaming connection with peer c7674291f0333bf7 (stream MsgApp v2 writer)
2017-09-20 13:29:48.354279 I | rafthttp: established a TCP streaming connection with peer 1ff51c47e4f95221 (stream MsgApp v2 reader)
2017-09-20 13:29:48.354390 I | rafthttp: established a TCP streaming connection with peer 1ff51c47e4f95221 (stream Message reader)
2017-09-20 13:29:48.354540 I | rafthttp: established a TCP streaming connection with peer c7674291f0333bf7 (stream Message writer)
2017-09-20 13:29:48.354596 I | rafthttp: established a TCP streaming connection with peer c7674291f0333bf7 (stream Message reader)
2017-09-20 13:29:48.354658 I | rafthttp: peer fe045def5d726446 became active
2017-09-20 13:29:48.354671 I | rafthttp: established a TCP streaming connection with peer fe045def5d726446 (stream MsgApp v2 reader)
2017-09-20 13:29:48.354774 I | rafthttp: established a TCP streaming connection with peer fe045def5d726446 (stream Message reader)
2017-09-20 13:29:48.357737 I | rafthttp: established a TCP streaming connection with peer fe045def5d726446 (stream Message writer)
2017-09-20 13:29:48.357903 I | rafthttp: established a TCP streaming connection with peer fe045def5d726446 (stream MsgApp v2 writer)
2017-09-20 13:29:48.506298 I | raft: 4947815f01d43c9c [term: 1] received a MsgVote message with higher term from a8637664ca9721a5 [term: 2]
2017-09-20 13:29:48.506358 I | raft: 4947815f01d43c9c became follower at term 2
2017-09-20 13:29:48.506371 I | raft: 4947815f01d43c9c [logterm: 1, index: 5, vote: 0] cast MsgVote for a8637664ca9721a5 [logterm: 1, index: 5] at term 2
2017-09-20 13:29:48.507677 I | raft: raft.node: 4947815f01d43c9c elected leader a8637664ca9721a5 at term 2
2017-09-20 13:29:48.511415 I | etcdserver: published {Name:ec2-35-156-80-2.eu-central-1.compute.amazonaws.com ClientURLs:[http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2379]} to cluster 663a90b2fc437693
2017-09-20 13:29:48.511563 I | embed: ready to serve client requests
2017-09-20 13:29:48.511784 N | embed: serving insecure client requests on 172.31.21.212:2379, this is strongly discouraged!
2017-09-20 13:29:48.513117 E | etcdmain: forgot to set Type=notify in systemd service file?
2017-09-20 13:29:48.517027 N | etcdserver/membership: set the initial cluster version to 3.1
2017-09-20 13:29:48.517066 I | etcdserver/api: enabled capabilities for version 3.1
