2017-09-20 15:02:16 Jepsen starting etcd :--log-output :stderr :--name ec2-18-194-52-75.eu-central-1.compute.amazonaws.com :--listen-peer-urls http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380 :--listen-client-urls http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2379 :--advertise-client-urls http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380 :--initial-cluster ec2-18-194-87-54.eu-central-1.compute.amazonaws.com=http://ec2-18-194-87-54.eu-central-1.compute.amazonaws.com:2380,ec2-18-196-0-107.eu-central-1.compute.amazonaws.com=http://ec2-18-196-0-107.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-134-185.eu-central-1.compute.amazonaws.com=http://ec2-18-194-134-185.eu-central-1.compute.amazonaws.com:2380,ec2-18-194-52-75.eu-central-1.compute.amazonaws.com=http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380,ec2-35-156-80-2.eu-central-1.compute.amazonaws.com=http://ec2-35-156-80-2.eu-central-1.compute.amazonaws.com:2380
2017-09-20 15:02:16.482333 I | etcdmain: etcd Version: 3.1.5
2017-09-20 15:02:16.482417 I | etcdmain: Git SHA: 20490ca
2017-09-20 15:02:16.482423 I | etcdmain: Go Version: go1.7.5
2017-09-20 15:02:16.482427 I | etcdmain: Go OS/Arch: linux/amd64
2017-09-20 15:02:16.482431 I | etcdmain: setting maximum number of CPUs to 2, total number of available CPUs is 2
2017-09-20 15:02:16.482439 W | etcdmain: no data-dir provided, using default data-dir ./ec2-18-194-52-75.eu-central-1.compute.amazonaws.com.etcd
2017-09-20 15:02:16.482451 W | embed: expected IP in URL for binding (http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380)
2017-09-20 15:02:16.482457 W | embed: expected IP in URL for binding (http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2379)
2017-09-20 15:02:16.485465 I | embed: listening for peers on http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380
2017-09-20 15:02:16.485863 I | embed: listening for client requests on ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2379
2017-09-20 15:02:16.491288 I | pkg/netutil: resolving ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380 to 172.31.20.19:2380
2017-09-20 15:02:16.491693 I | pkg/netutil: resolving ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380 to 172.31.20.19:2380
2017-09-20 15:02:20.492685 I | etcdserver: name = ec2-18-194-52-75.eu-central-1.compute.amazonaws.com
2017-09-20 15:02:20.492715 I | etcdserver: data dir = ec2-18-194-52-75.eu-central-1.compute.amazonaws.com.etcd
2017-09-20 15:02:20.492721 I | etcdserver: member dir = ec2-18-194-52-75.eu-central-1.compute.amazonaws.com.etcd/member
2017-09-20 15:02:20.492726 I | etcdserver: heartbeat = 100ms
2017-09-20 15:02:20.492730 I | etcdserver: election = 1000ms
2017-09-20 15:02:20.492735 I | etcdserver: snapshot count = 10000
2017-09-20 15:02:20.492747 I | etcdserver: advertise client URLs = http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2379
2017-09-20 15:02:20.492754 I | etcdserver: initial advertise peer URLs = http://ec2-18-194-52-75.eu-central-1.compute.amazonaws.com:2380
